id_proposta_ano	id_proposta	id_convenio	descricao_proposta	nome_programa	acao_orcamentaria	ano_proposta	data_proposta	ano_inicio_vigencia_convenio	ano_final_vigencia_convenio	intervalo_vigencia_dias	data_assinatura_convenio	data_publicacao_convenio	data_limite_prestacao_contas	situacao_proposta_grupo	dummy_existe_convenio	dummy_instrumento_assinado	situacao_proposta	modalidade	situacao_contratacao	dummy_instrumento_ativo	situacao_instrumento	dummy_instrumento_em_execucao	subsituacao_instrumento	indicador_obtv	data_inicio_execucao	data_saida_execucao	ano_data_inicio_execucao	ano_saida_execucao	valor_total_proposta	valor_repasse_uniao_proposta	valor_contrapartida_proposta	valor_total_instrumento	valor_repasse_uniao_instrumento	valor_contrapartida_instrumento	valor_empenhado_instrumento	valor_desembolsado_instrumento	saldo_remanescente_tesouro_instrumento	saldo_remanescente_convenente_instrumento	valor_rendimento_aplicacao_instrumento	valor_ingresso_contrapartida_instrumento	valor_saldo_instrumento	quantidade_termos_aditivos	quantidade_prorrogacoes	valor_total_original_instrumento	data_final_original	intervalo_original	dummy_emenda	valor_repasse_proposta_emenda	valor_repasse_emenda	emenda_impositiva	tipo_parlamentar	regiao_proponente	uf_proponente	municipio_proponente	nm_proponente	orgao_sup	orgao	natureza_juridica
41635/2014	883471	812289	Constitui objeto deste Convênio �?A execução das ações programadas no Projeto de Assistência Técnica dos Setores de Energia e Mineral �?META, apoiando e investindo no desenvolvimento de pesquisas e tecnologias do setor de energia elétrica mediante a implantação do Sistema de Medição Fasorial no Operador Nacional do Sistema Elétrico �?ONS, conforme Plano de Trabalho aprovado. Para a primeira fase do Projeto META foi priorizado o cumprimento da meta estabelecida na Carta-Consulta para realização de Compra de hardware e software necessários para os concentradores de dados fasoriais do ONS pertencentes ao Sistema de Medição Sincronizada de Fasores (SMSF) do Sistema Interligado Nacional (SIN).	2119 - Programa de Gestão e Manutenção do Ministério de Minas e Energia	13E40001	2014	2014-06-03	2014	2019	1721	2014-11-13	2014-11-19	2019-09-29	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2014-12-02 11:57:27	2018-08-03 11:13:05	2014	2018	21029757	14931000	6098758	21029757	14931000	6098758	15007193	14931000					2871	7		13651989	2016-06-30	595	0					Sudeste	RJ	RIO DE JANEIRO	OPERADOR NACIONAL DO SISTEMA ELETRICO ONS	MINISTERIO DE MINAS E ENERGIA	MINISTERIO DE MINAS E ENERGIA	Organização da Sociedade Civil
33554/2016	1118006	842764	Implantação e oferta dos cursos de pós-graduação lato sensu em Gestão Pública e em Gestão Pública Municipal no âmbito do Sistema Universidade Aberta do Brasil (UAB).	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-11-16	2017	2020	1053	2017-05-16	2017-05-19	2020-06-02	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-05-16 16:10:47		2017		294980	292030	2950	294980	292030	2950	292030	292030				2950	226633			294980	2020-04-03	1053	0					Sudeste	MG	BELO HORIZONTE	UNIVERSIDADE DO ESTADO DE MINAS GERAIS	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
39769/2014	878277	811215	Dar continuidade a oferta dos cursos de graduação da UESC na modalidade a distância, bem como ofertar cursos de  especialização, também na modalidade a distância.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-05-14	2015	2020	1918	2015-04-01	2015-04-09	2020-08-30	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1	Em aditivação	SIM	2015-04-01 11:05:56		2015		1766024	1748363	17660	1766024	1748363	17660	517606	517606					474780	2		1766024	2017-07-01	822	0					Nordeste	BA	ILHEUS	UNIVERSIDADE ESTADUAL DE SANTA CRUZ	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
2920/2016	1052103	826939	A UEMS - Universidade do Estado de Mato Grosso do Sul oferta 35 (trinta e cinco) vagas anuais para docentes do ensino fundamental, com formação em Letras, que atuem como efetivos nas redes municipal e/ou estadual de ensino público, no programa PROFLETRAS, sendo 20 vagas para Unidade Universitária de Campo Grande e 15 vagas para Unidade Universitária de Dourados nas Unidades Universitárias de Campo e Dourados no âmbito do Sistema UAB - Universidade Aberta do Brasil e da CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-02-22	2016	2020	1461	2016-06-21	2016-06-24	2020-08-20	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2016-06-22 10:43:36		2016		198560	196575	1986	198560	196575	1986	196575	196575				1986	198015	1		198560	2019-06-21	1095	0					Centro-Oeste	MS	DOURADOS	FUNDACAO UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
33340/2016	1117420	842761	Apoio ao Núcleo de Educação a Distância da UEL (NEAD/UEL) para implantação, oferta, reoferta e gerência de cursos de graduação e de pós-graduação na modalidade a distância de forma a proporcionar formação continuada de professores e demais interessados.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-11-14	2017	2022	1826	2017-01-27	2017-05-23	2022-03-28	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-05-19 10:53:32		2017		3261156	3228544	32612	3261156	3228544	32612	2000000	2000000				32612	1109012	1		3261156	2022-01-27	1826	0					Sul	PR	LONDRINA	UNIVERSIDADE ESTADUAL DE LONDRINA	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
34241/2014	865985	807377	Constitui objeto deste Termo de Referência a oferta dos períodos dos cursos de Licenciatura em Pedagogia (5º, 6º períodos), Licenciatura em Letras - Habilitação em Português e suas Literaturas (5º, 6º períodos), do curso de Licenciatura em Ciências Biológicas (5º, 6º períodos), do curso de Bacharelado em Administração Pública (5º, 6º períodos), todos na modalidade a distância, no âmbito do Programa UAB, da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), de acordo com as especificações, quantitativos e condições constantes da planilha orçamentária em anexo a esta proposta.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-03-27	2014	2019	1851	2014-07-04	2014-07-23	2019-09-27	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2014-07-17 18:17:22		2014		939429	922979	16450	939429	922979	16450	922979	922979				16450	767652	3		939429	2016-07-29	756	0					Nordeste	PE	RECIFE	FUNDACAO UNIVERSIDADE DE PERNAMBUCO	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
21270/2014	849591	806508	Implantação, oferta e reoferta de cursos no Âmbito do Sistema UAB.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-02-25	2014	2019	1826	2014-06-24	2014-07-10	2019-08-23	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2014-07-03 15:47:35		2014		5124130	5072889	51241	5545213	5072889	51241	5072889	5072889			421083	52659	3051	5		5545213	2016-06-24	731	0					Nordeste	MA	SAO LUIS	UNIVERSIDADE ESTADUAL DO MARANHAO	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
82635/2013	791972	796219	O Programa Nacional de Mestrado Profissional em Ensino de Física (MNPEF) é um programa nacional de pós-graduação de caráter profissional, voltado a professores de ensino médio e fundamental com ênfase principal em aspectos de conteúdos na Área de Física. �?uma iniciativa da Sociedade Brasileira de Física (SBF) com o objetivo de coordenar diferentes capacidades apresentadas por diversas Instituições de Ensino Superior (IES) distribuídas em todas as regiões do País. Este Programa está organizado em Polos Regionais, hospedados por alguma IES, onde ocorrerão as orientações das dissertações e serão ministradas as disciplinas do currículo. Se destina a capacitar em nível de mestrado uma fração muito grande professores da Educação Básica quanto ao domínio de conteúdos de Física e de técnicas atuais de ensino para aplicação em sala de aula como, por exemplo, estratégias que utilizam recursos de mídia eletrônica, tecnológicos e/ou computacionais para motivação, informação, experimentação e demonstrações de diferentes fenômenos físicos.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-11-21	2013	2015	748	2013-12-13	2014-08-06	2016-02-29	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2014-08-04 11:26:22		2014		2919460	2890265	29195	2919460	2890265	29195	2890265	2890265	1589334	16054		29314	0			2919460	2015-11-23	710	0					Sudeste	SP	SAO PAULO	SOCIEDADE BRASILEIRA DE FISICA SBF	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Organização da Sociedade Civil
9177/2016	1060859	836248	Consolidação dos cursos e manutenção das ofertas e ações do Núcleo da UAB/UEFS.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-03-09	2016	2020	1190	2016-12-30	2017-03-28	2020-06-02	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-03-24 15:11:01		2017		168012	166332	1680	168012	166332	1680	166332	166332				1680	162675	1		168012	2019-04-03	824	0					Nordeste	BA	FEIRA DE SANTANA	UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
23065/2013	699905	795327	"A Fundação Universidade do Tocantins com a oferta de vagas, nos curso de licenciatura em Computação, Letras, Matemática e Pedagogia, além do bacharelado em Administração Pública, buscou atender aos professores da rede pública, estadual e municipal e servidores da administração pública, bem como a demanda social por meio de processo seletivo, em que atenda aos requisitos exigidos pela instituição pública vinculada ao Sistema Universidade Aberta do Brasil - UAB.  	O curso de Licenciatura em Computação teve início em 2013, com a oferta de 140 vagas em 4 polos, sendo Araguatins, Mateiros, Palmas e Porto Nacional. Possui 2850 horas com duração de 7 semestres. O curso visa a formação de profissionais capazes de trabalhar nos níveis de ensino fundamental, médio e profissionalizante. Para tanto, ele receberá uma formação social, pedagógica, humanística e técnica adequada. Além disso, o licenciado em Computação pode trabalhar no âmbito empresarial como desenvolvedor e instrutor na disseminação do conhecimento. Também poderá atuar em projetos de educação a distância, tanto no suporte aos laboratórios específicos, como na tutoria das disciplinas e módulos.  	O curso de Licenciatura em Letras �?Língua Portuguesa, Língua Espanhola e Respectivas Literaturas certificado pela Unitins, iniciado no ano de 2012, no qual serão ofertados no ano de 2013 a continuidade das turmas já existentes com 3o e 4o períodos, além de nova oferta do 1o. e 2o. períodos em 4 novos polos (Ananás, Araguatins, Nova Olinda e Porto Nacional). Possui 3.500 horas de atividades e duração de oito semestres, contemplando, dessa forma, conteúdos de natureza científico-cultural, núcleo comum básico e atividades diversificadas. O curso visa �? formação de profissionais de nível superior preparados para o ensino e para as práticas investigativas em língua portuguesa, língua espanhola e suas respectivas literaturas. 	O curso de Licenciatura em Pedagogia certificado pela Unitins, que igualmente ao curso de Letras teve início no primeiro semestre de 2012 possui 3.200 horas de atividades e duração de oito semestres. No ano de 2013 dará continuidade as turmas já existentes com a oferta do 3o. e 4o. períodos, bem como a oferta de novas turmas com 1o. e 2o. períodos em cinco novos polos (Araguatins, Ananás, Mateiros, Nova Olinda e Porto Nacional). Aborda diferentes áreas do conhecimento, envolvendo as ciências humanas, sociais e tecnológicas e propõe-se a habilitar conforme a Resolução CNE/CP 01/2006, para o exercício da docência na Educação Infantil e nos anos iniciais do Ensino Fundamental, nos cursos de Ensino Médio, na modalidade Normal, e em cursos de Educação Profissional na área de serviços e apoio escolar, bem como em outras áreas nas quais sejam previstos conhecimentos pedagógicos. 	O curso de Matemática mantido pela Unitins teve início em 2013, com 150 vagas, contando com 3520 horas horas distribuídas em 8 períodos. O curso tem uma formação teórica consistente com uma diversidade de conhecimento e de práticas, que sejam articuladas ao longo do curso, de forma que para cada competência propõe-se um conjunto de habilidades a fim de garantir o perfil do egresso de matemática em sociedade de conhecimento e informações. O licenciado em matemática formado pela Unitins poderá atuar na educação básica, diretamente na sala de aula, em curso de formação de professores, na elaboração de materiais pedagógicos voltados para ao ensino da matemática e desenvolver pesquisas no campo da educação e educação matemática. Além disso, devem aplicar as teorias matemáticas na resolução de problemas relacionados a diversas áreas do conhecimento, nas quais o pensamento matemático se faz presente, como física, estatística, biologia, administração, economia e engenharias.   O curso de bacharelado em Administração Pública ofertado pela Unitins terá sua primeira oferta, com oito semestres possuindo 3.000 horas de atividades. O curso tem por objetivo apresentar aos gestores os princípios da administração, bem como assegurar os interesses coletivos e conjunto de órgãos e de pessoas jurídicas aos quais a Lei atribui o exercício da função administrativa. O presente Termo, visa também a capacitação para todos os colaboradores nos cursos ofertados pela UAB/Unitins, no período letivo de 2013, mediante a realização de cursos específicos de curta duração, primordialmente na modalidade EaD, necessários para preparação dos profissionais que atuarão no Sistema UAB/Unitins."	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-04-23	2013	2018	1844	2013-12-13	2014-04-17	2019-03-01	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2014-04-15 14:54:56		2014		1060486	1049486	11000	1060486	1049486	11000	1049486	1049486	117509			11000	0	2	1	1060486	2015-12-31	748	0					Norte	TO	PALMAS	UNIVERSIDADE ESTADUAL DO TOCANTINS - UNITINS	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
